Date,Symbol,Order,Shares
2008-01-02,UNH,SELL,200
2008-01-04,UNH,BUY,200
2008-01-07,UNH,BUY,200
2008-01-08,UNH,SELL,400
2008-01-09,UNH,BUY,400
2008-01-10,UNH,SELL,400
2008-01-11,UNH,BUY,200
2008-01-14,UNH,SELL,200
2008-01-23,UNH,BUY,200
2008-01-28,UNH,SELL,200
2008-01-30,UNH,BUY,400
2008-01-31,UNH,SELL,200
2008-02-05,UNH,SELL,200
2008-02-14,UNH,BUY,400
2008-02-20,UNH,SELL,400
2008-02-21,UNH,BUY,400
2008-02-25,UNH,SELL,200
2008-02-26,UNH,SELL,200
2008-02-28,UNH,BUY,200
2008-03-03,UNH,BUY,200
2008-03-04,UNH,SELL,400
2008-03-05,UNH,BUY,200
2008-03-06,UNH,BUY,200
2008-03-07,UNH,SELL,400
2008-03-12,UNH,BUY,200
2008-03-13,UNH,SELL,200
2008-03-14,UNH,BUY,200
2008-03-17,UNH,SELL,200
2008-03-18,UNH,BUY,200
2008-03-19,UNH,SELL,200
2008-03-20,UNH,BUY,200
2008-03-28,UNH,SELL,200
2008-03-31,UNH,BUY,400
2008-04-04,UNH,SELL,400
2008-04-07,UNH,BUY,200
2008-04-08,UNH,BUY,200
2008-04-10,UNH,SELL,400
2008-04-11,UNH,BUY,400
2008-04-14,UNH,SELL,200
2008-04-15,UNH,SELL,200
2008-04-16,UNH,BUY,200
2008-04-17,UNH,BUY,200
2008-04-21,UNH,SELL,200
2008-04-22,UNH,BUY,200
2008-04-23,UNH,SELL,200
2008-04-24,UNH,SELL,200
2008-04-25,UNH,BUY,400
2008-04-28,UNH,SELL,400
2008-04-29,UNH,BUY,200
2008-04-30,UNH,SELL,200
2008-05-02,UNH,BUY,200
2008-05-06,UNH,BUY,200
2008-05-07,UNH,SELL,200
2008-05-08,UNH,SELL,200
2008-05-09,UNH,BUY,200
2008-05-12,UNH,SELL,200
2008-05-13,UNH,BUY,200
2008-05-19,UNH,BUY,200
2008-05-20,UNH,SELL,200
2008-05-21,UNH,BUY,200
2008-05-27,UNH,SELL,400
2008-05-28,UNH,BUY,200
2008-06-02,UNH,SELL,200
2008-06-03,UNH,BUY,400
2008-06-04,UNH,SELL,400
2008-06-12,UNH,BUY,400
2008-06-13,UNH,SELL,200
2008-06-18,UNH,SELL,200
2008-06-19,UNH,BUY,200
2008-06-20,UNH,SELL,200
2008-06-23,UNH,BUY,200
2008-06-24,UNH,BUY,200
2008-06-25,UNH,SELL,400
2008-06-26,UNH,BUY,400
2008-07-01,UNH,SELL,200
2008-07-02,UNH,SELL,200
2008-07-07,UNH,BUY,200
2008-07-08,UNH,SELL,200
2008-07-10,UNH,BUY,400
2008-07-16,UNH,SELL,200
2008-07-17,UNH,BUY,200
2008-07-23,UNH,SELL,200
2008-07-30,UNH,BUY,200
2008-07-31,UNH,SELL,200
2008-08-04,UNH,BUY,200
2008-08-05,UNH,SELL,200
2008-08-07,UNH,BUY,200
2008-08-08,UNH,SELL,200
2008-08-14,UNH,SELL,200
2008-08-15,UNH,BUY,400
2008-08-18,UNH,SELL,200
2008-08-19,UNH,SELL,200
2008-08-20,UNH,BUY,400
2008-08-21,UNH,SELL,400
2008-08-25,UNH,BUY,400
2008-08-26,UNH,SELL,400
2008-08-27,UNH,BUY,400
2008-08-28,UNH,SELL,400
2008-09-02,UNH,BUY,400
2008-09-03,UNH,SELL,400
2008-09-04,UNH,BUY,200
2008-09-12,UNH,BUY,200
2008-09-15,UNH,SELL,200
2008-09-16,UNH,SELL,200
2008-09-17,UNH,BUY,400
2008-09-18,UNH,SELL,200
2008-09-19,UNH,BUY,200
2008-09-22,UNH,SELL,400
2008-09-24,UNH,BUY,200
2008-09-26,UNH,SELL,200
2008-09-29,UNH,BUY,400
2008-09-30,UNH,SELL,200
2008-10-02,UNH,SELL,200
2008-10-03,UNH,BUY,200
2008-10-08,UNH,SELL,200
2008-10-09,UNH,BUY,200
2008-10-10,UNH,SELL,200
2008-10-13,UNH,BUY,200
2008-10-15,UNH,SELL,200
2008-10-17,UNH,BUY,400
2008-10-20,UNH,SELL,200
2008-10-22,UNH,BUY,200
2008-10-23,UNH,SELL,200
2008-10-24,UNH,SELL,200
2008-10-27,UNH,BUY,200
2008-10-30,UNH,BUY,200
2008-10-31,UNH,SELL,400
2008-11-03,UNH,BUY,400
2008-11-05,UNH,SELL,400
2008-11-12,UNH,BUY,200
2008-11-13,UNH,SELL,200
2008-11-20,UNH,BUY,400
2008-11-21,UNH,SELL,200
2008-12-01,UNH,BUY,200
2008-12-02,UNH,SELL,200
2008-12-03,UNH,SELL,200
2008-12-04,UNH,BUY,200
2008-12-10,UNH,BUY,200
2008-12-12,UNH,SELL,200
2008-12-18,UNH,BUY,200
2008-12-19,UNH,SELL,200
2008-12-23,UNH,BUY,200
2008-12-24,UNH,SELL,200
2008-12-26,UNH,BUY,200
2008-12-29,UNH,SELL,200
2008-12-30,UNH,BUY,200
2008-12-31,UNH,SELL,200
2009-01-02,UNH,SELL,200
2009-01-05,UNH,BUY,400
2009-01-06,UNH,SELL,200
2009-01-07,UNH,SELL,200
2009-01-08,UNH,BUY,400
2009-01-09,UNH,SELL,200
2009-01-12,UNH,SELL,200
2009-01-13,UNH,BUY,200
2009-01-16,UNH,SELL,200
2009-01-20,UNH,BUY,400
2009-01-21,UNH,SELL,200
2009-01-22,UNH,BUY,200
2009-01-23,UNH,SELL,200
2009-01-26,UNH,BUY,200
2009-01-28,UNH,SELL,200
2009-02-03,UNH,SELL,200
2009-02-04,UNH,BUY,200
2009-02-05,UNH,BUY,200
2009-02-06,UNH,SELL,200
2009-02-10,UNH,BUY,200
2009-02-13,UNH,SELL,400
2009-02-17,UNH,BUY,200
2009-02-18,UNH,SELL,200
2009-02-19,UNH,BUY,200
2009-02-20,UNH,SELL,200
2009-02-24,UNH,BUY,200
2009-02-25,UNH,SELL,200
2009-02-26,UNH,BUY,200
2009-02-27,UNH,SELL,200
2009-03-02,UNH,BUY,200
2009-03-03,UNH,SELL,200
2009-03-05,UNH,BUY,400
2009-03-06,UNH,SELL,400
2009-03-09,UNH,BUY,200
2009-03-11,UNH,BUY,200
2009-03-12,UNH,SELL,200
2009-03-13,UNH,SELL,200
2009-03-16,UNH,BUY,400
2009-03-18,UNH,SELL,200
2009-03-20,UNH,BUY,200
2009-03-23,UNH,SELL,200
2009-03-25,UNH,BUY,200
2009-03-26,UNH,SELL,200
2009-03-27,UNH,BUY,200
2009-04-02,UNH,SELL,200
2009-04-03,UNH,SELL,200
2009-04-06,UNH,BUY,200
2009-04-07,UNH,BUY,200
2009-04-08,UNH,SELL,200
2009-04-09,UNH,BUY,200
2009-04-13,UNH,SELL,200
2009-04-17,UNH,BUY,200
2009-04-20,UNH,SELL,200
2009-04-21,UNH,SELL,200
2009-04-28,UNH,BUY,200
2009-04-29,UNH,BUY,200
2009-04-30,UNH,SELL,200
2009-05-01,UNH,SELL,200
2009-05-04,UNH,BUY,400
2009-05-07,UNH,SELL,200
2009-05-14,UNH,BUY,200
2009-05-15,UNH,SELL,200
2009-05-19,UNH,SELL,200
2009-05-20,UNH,BUY,200
2009-05-26,UNH,BUY,200
2009-05-27,UNH,SELL,200
2009-05-28,UNH,SELL,200
2009-05-29,UNH,BUY,400
2009-06-02,UNH,SELL,400
2009-06-03,UNH,BUY,200
2009-06-04,UNH,SELL,200
2009-06-08,UNH,BUY,200
2009-06-09,UNH,SELL,200
2009-06-10,UNH,BUY,400
2009-06-12,UNH,SELL,200
2009-06-15,UNH,SELL,200
2009-06-16,UNH,BUY,200
2009-06-17,UNH,BUY,200
2009-06-18,UNH,SELL,400
2009-06-19,UNH,BUY,200
2009-06-22,UNH,SELL,200
2009-06-25,UNH,BUY,400
2009-06-29,UNH,SELL,200
2009-06-30,UNH,BUY,200
2009-07-01,UNH,SELL,400
2009-07-02,UNH,BUY,200
2009-07-06,UNH,BUY,200
2009-07-07,UNH,SELL,200
2009-07-08,UNH,BUY,200
2009-07-09,UNH,SELL,200
2009-07-10,UNH,SELL,200
2009-07-15,UNH,BUY,400
2009-07-16,UNH,SELL,400
2009-07-17,UNH,BUY,200
2009-07-21,UNH,BUY,200
2009-07-29,UNH,SELL,200
2009-08-04,UNH,SELL,200
2009-08-05,UNH,BUY,200
2009-08-06,UNH,BUY,200
2009-08-07,UNH,SELL,400
2009-08-11,UNH,BUY,400
2009-08-14,UNH,SELL,400
2009-08-17,UNH,BUY,200
2009-08-18,UNH,BUY,200
2009-08-24,UNH,SELL,200
2009-08-25,UNH,BUY,200
2009-08-27,UNH,SELL,400
2009-08-28,UNH,BUY,400
2009-08-31,UNH,SELL,400
2009-09-01,UNH,BUY,200
2009-09-03,UNH,SELL,200
2009-09-04,UNH,BUY,400
2009-09-09,UNH,SELL,200
2009-09-10,UNH,SELL,200
2009-09-11,UNH,BUY,200
2009-09-14,UNH,SELL,200
2009-09-15,UNH,BUY,400
